EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,Timestamp,Response
-12.979322796221823,28.92812615726143,-19.57276641810313,-7.850050006993115,1700259629.6213644,
-92.62797215254977,-89.31255084183067,-120.16111562633887,-70.6242707632482,1700259629.6224234,
98.24156198604032,102.70513258315623,70.4952442147769,101.6803999952972,1700259629.6224234,
60.29279713565484,110.9777912851423,56.758591677527875,63.4735820479691,1700259629.6675415,
-112.87205061269924,-88.35513645317405,-131.05170429730788,-88.25041925441474,1700259629.6675415,
41.802731754723936,34.388380092568696,12.014428607653826,49.5798537125811,1700259629.6678798,
116.46235457016155,153.28353958390653,107.74464777344838,117.44407830853015,1700259629.6678798,
-75.98541734972969,-35.33083488140255,-90.29801448015496,-60.63873788155615,1700259629.6689785,
-33.814305449370295,-39.78879562858492,-67.9782915445976,-15.789857612922788,1700259629.6689785,
137.29359732335433,160.78577889502048,119.70110793178901,139.07939955219626,1700259629.669463,
-11.46466331416741,36.89037316292524,-16.173197358381003,-3.7959984550252557,1700259629.669463,
-91.99592906003818,-82.87244311813265,-122.01984590431675,-66.6973758097738,1700259629.680006,
103.5110810236074,108.03075012005866,73.34130808105692,101.95715259201825,1700259629.680006,
65.92882636887953,107.66797982435673,56.08540968550369,61.51387447118759,1700259629.6807652,
-108.36921106604859,-90.8234704239294,-131.18260079575703,-89.81369743589312,1700259629.6807652,
38.55275869322941,33.9059329982847,5.82115428103134,48.26714882813394,1700259629.6943624,
120.4116889233701,156.8140051420778,106.15519029228017,118.28555579856038,1700259629.6943624,
-80.01328960200772,-38.26291644666344,-85.5408617365174,-58.6191919054836,1700259629.7100253,
-34.02373984688893,-34.63521348964423,-66.94607915682718,-15.617822214961052,1700259629.7100253,
140.81658308161423,163.0783375678584,118.78857234260067,131.34528644382954,1700259629.711009,
-14.501462078187615,30.15481334272772,-22.33655248535797,-5.725786832161248,1700259629.711009,
-90.62338577629998,-84.67881479673088,-114.74948039045557,-59.55416689440608,1700259629.7243462,
102.85659853136167,109.87452079821378,77.76560972863808,104.09263546671718,1700259629.7243462,
62.016891015227884,108.02327032014728,59.00253165094182,62.08981906436384,1700259629.7400844,
-116.02104637539014,-87.61837616190314,-130.5991764026694,-84.62271629739553,1700259629.7400844,
36.593051116447896,37.51119655556977,10.806440921965986,57.48600221890956,1700259629.7408497,
109.65573665080592,155.72569425497204,109.67069625062868,115.88827992696315,1700259629.7408497,
-77.8497574776411,-35.51408997923136,-89.55003448901698,-60.019784438889474,1700259629.7550879,
-34.68757208902389,-34.08170829620212,-67.92219304526225,-11.404824914876372,1700259629.7558177,
139.04200055263937,162.83150417078286,114.97013448784128,139.4963983972557,1700259629.7558177,
-19.799030365422368,30.98133123293519,-19.89065791433677,-2.335567522328347,1700259629.78575,
-93.38530189357698,-85.00792599283159,-115.5572987808846,-63.66618689568713,1700259629.78575,
96.6390148550272,103.9729586681351,70.6822392125614,105.87095789564773,1700259629.78669,
61.03890717681497,107.15935343038291,54.286517806816846,63.32211609976366,1700259629.78669,
-109.051742807962,-85.90924188215286,-131.0853633969091,-85.03971514245495,1700259629.78739,
36.2022315710783,42.77323579322547,10.024801831226796,54.50343200424686,1700259629.78739,
112.2755365697667,162.9997996687889,105.53436689963564,117.23651386098936,1700259629.7993402,
-77.10551738645881,-37.253143458627164,-91.00111567182466,-58.57244315603748,1700259629.7993402,
-37.35786065738648,-29.986517844721675,-71.69201220059767,-19.13519812328741,1700259629.8150642,
135.66861079260707,168.40021520480514,121.38780281180516,137.25245842384174,1700259629.8150642,
-21.27629084791988,38.22551744710654,-24.33739896165207,-9.05616774270311,1700259629.8158202,
-95.12809527292848,-80.1871949499473,-124.30492477724329,-71.8303884989582,1700259629.8158202,
86.27575207781047,105.57363584917039,70.82435541087762,110.29899944318458,1700259629.829399,
50.31287410389632,108.60295481327921,57.28965747123584,74.9045862625353,1700259629.829399,
-121.0568216657266,-87.06113106850535,-134.2717581591569,-81.38583288574591,1700259629.8450663,
33.86105419881642,40.054328525438905,4.489749896805733,54.716606301721185,1700259629.8450663,
108.06066931970417,158.7400536192581,106.69373588589951,121.2232472137548,1700259629.845822,
-91.09648312069476,-46.25882255192846,-91.71917646331713,-46.687041096854955,1700259629.845822,
-51.89485178515315,-45.15181216504425,-64.16733348974958,-2.7095575178973377,1700259629.8594687,
120.94088476710021,155.30682545993477,121.3354442124255,146.88270080974326,1700259629.8594687,
-21.68020004313439,24.013897615484893,-23.641777569893748,-3.3976991097442806,1700259629.8750532,
-93.16090789623559,-91.69112721364945,-118.81101174233481,-57.79454396525398,1700259629.8750532,
83.79245850723237,100.49859160929918,73.9770910735242,113.85190440109,1700259629.8758223,
41.87939970381558,104.91167355701327,53.36650241771713,64.98263168008998,1700259629.8758223,
-115.83966122753918,-88.70294714905322,-131.4144745930098,-84.40019225003198,1700259629.8893807,
26.97963828034699,37.238183858804405,7.590126960072666,56.399561281781644,1700259629.8893807,
98.52018453273922,151.8100190013647,102.04878014093265,121.85155040631071,1700259629.9050667,
-93.14220839645714,-42.19729120004922,-86.93958431994542,-52.80925732431933,1700259629.9050667,
-54.69603685196489,-40.58165441919118,-68.29992294078693,-7.148818765301257,1700259629.905806,
